Time,Temperature,Pressure,Humidity,Illuminance
1448925600,4.6125941541E+00,1.0004008402E+03,9.9900000000E+01,0.0000000000E+00
1448926800,4.6499663166E+00,1.0006000000E+03,9.9900000000E+01,0.0000000000E+00
1448928000,4.6375036019E+00,1.0008987512E+03,9.9900000000E+01,0.0000000000E+00
1448929200,4.5467469593E+00,1.0010983585E+03,9.9900000000E+01,0.0000000000E+00
1448930400,4.2914753249E+00,1.0012983440E+03,9.9900000000E+01,0.0000000000E+00
1448931600,2.9309812117E+00,1.0011000000E+03,9.9900000000E+01,0.0000000000E+00
1448932800,3.8590400790E+00,1.0013991949E+03,9.9900000000E+01,0.0000000000E+00
1448934000,4.1468425841E+00,1.0018983820E+03,9.9900000000E+01,0.0000000000E+00
1448935200,4.0718217223E+00,1.0019987067E+03,9.9900000000E+01,0.0000000000E+00
1448936400,4.1405730191E+00,1.0022987600E+03,9.9900000000E+01,0.0000000000E+00
1448937600,4.3780852364E+00,1.0027973827E+03,9.9900000000E+01,0.0000000000E+00
1448938800,4.4281454378E+00,1.0028987145E+03,9.9900000000E+01,0.0000000000E+00
1448940000,4.3562477743E+00,1.0032974691E+03,9.9900000000E+01,0.0000000000E+00
1448941200,4.3998919775E+00,1.0036948632E+03,9.9900000000E+01,0.0000000000E+00
1448942400,4.6406248141E+00,1.0040982758E+03,9.9900000000E+01,0.0000000000E+00
1448943600,4.8874150848E+00,1.0042000000E+03,9.9900000000E+01,0.0000000000E+00
1448944800,4.9906080146E+00,1.0043986675E+03,9.9900000000E+01,0.0000000000E+00
1448946000,4.9531806802E+00,1.0046991905E+03,9.9900000000E+01,0.0000000000E+00
1448947200,4.8908977140E+00,1.0049000000E+03,9.9900000000E+01,0.0000000000E+00
1448948400,4.8031241626E+00,1.0053930692E+03,9.9900000000E+01,0.0000000000E+00
1448949600,4.9216452183E+00,1.0056973886E+03,9.9900000000E+01,0.0000000000E+00
1448950800,4.9219152731E+00,1.0059982463E+03,9.9900000000E+01,0.0000000000E+00
1448952000,4.8188648505E+00,1.0060983297E+03,9.9900000000E+01,6.9326259400E+00
1448953200,4.8716504145E+00,1.0064982621E+03,9.9900000000E+01,9.2773615983E+01
1448954400,4.9688977670E+00,1.0067986766E+03,9.9900000000E+01,3.1220763722E+02
1448955600,5.0373822761E+00,1.0071975096E+03,9.9900000000E+01,1.1171214141E+03
1448956800,5.1031506972E+00,1.0073990834E+03,9.9900000000E+01,9.7461602200E+03
1448958000,5.2717788266E+00,1.0077966791E+03,9.9900000000E+01,1.1993285382E+03
1448959200,5.4218303919E+00,1.0080021577E+03,9.6965160085E+01,4.7853860722E+02
1448960400,5.4717847366E+00,1.0084981389E+03,8.7525606035E+01,1.9723993803E+03
1448961600,5.6591478088E+00,1.0088973667E+03,8.0830294448E+01,3.9923969846E+04
1448962800,5.9779915023E+00,1.0090986683E+03,7.1647083394E+01,2.4848601934E+04
1448964000,6.2278934571E+00,1.0094976544E+03,6.5743919463E+01,4.0054329562E+04
1448965200,6.5436043626E+00,1.0096976031E+03,6.0347289515E+01,4.0000000000E+04
1448966400,6.7623782710E+00,1.0100991241E+03,5.9502668544E+01,4.0000000000E+04
1448967600,7.0436808041E+00,1.0103983643E+03,5.4926397272E+01,4.0000000000E+04
1448968800,7.1968485158E+00,1.0105978917E+03,5.4214858149E+01,8.2955502166E+03
1448970000,7.2874947000E+00,1.0110967274E+03,5.3086796299E+01,3.8738175436E+04
1448971200,7.2063279397E+00,1.0113012717E+03,5.3492283460E+01,4.3764721800E+04
1448972400,7.1813019525E+00,1.0115983332E+03,5.3808467773E+01,5.2740954787E+03
1448973600,7.1313029057E+00,1.0119986303E+03,5.4591697657E+01,3.2832608313E+03
1448974800,7.0438007202E+00,1.0122986912E+03,5.5390739569E+01,2.5199874034E+03
1448976000,6.9686741781E+00,1.0127964966E+03,5.6380575181E+01,1.9167966692E+03
1448977200,6.9314601254E+00,1.0130973805E+03,5.8982790385E+01,1.3843360176E+03
1448978400,6.6720222317E+00,1.0133975060E+03,5.8592428095E+01,8.7143259693E+02
1448979600,6.3845682916E+00,1.0138964837E+03,6.1579836719E+01,4.1747889745E+02
1448980800,6.0813996117E+00,1.0140000000E+03,6.8374738022E+01,1.1186077853E+02
1448982000,5.8563344008E+00,1.0142986127E+03,7.5466365492E+01,1.9448460107E+01
1448983200,5.6283477328E+00,1.0148929995E+03,7.8455888767E+01,2.0705779733E+00
1448984400,5.3313772784E+00,1.0148990294E+03,8.3593103928E+01,0.0000000000E+00
