index;timeNoImp;timeImp;
0;3499937;480180416;
1;1029416;461069909;
2;837405;446910334;
3;1256774;446127564;
4;679382;445556247;
5;717730;448509560;
6;604677;443043354;
7;966794;445834713;
8;1011874;446296855;
9;778665;445459731;
10;1031449;451091844;
11;666653;444905915;
12;401578;445121404;
13;386846;448200168;
14;421759;450148431;
15;566638;446089303;
16;375294;445019466;
17;434979;444212229;
18;329063;452752846;
19;541040;449468800;
20;533605;445081417;
21;536556;442946878;
22;519206;446388826;
23;527968;448973551;
24;545201;448013424;
25;331384;443284862;
26;481825;446782741;
27;582924;460827048;
28;670261;451300041;
29;319904;444071301;
30;404961;448029931;
31;427485;444719610;
32;253793;452107570;
33;255973;447645940;
34;261321;447645518;
35;258026;447034659;
36;390483;454117596;
37;458563;444294556;
38;255282;446515634;
39;284056;444800605;
40;214753;446810658;
41;306530;450914506;
42;306149;444072305;
43;295434;443875174;
44;306315;443732323;
45;296763;448880619;
46;285084;443735391;
47;298446;445505486;
48;294410;444097022;
49;279636;443674832;
50;278452;449192902;
51;284062;443258555;
52;228414;444616448;
53;220809;443468678;
54;204729;450935677;
55;216693;451348755;
56;210064;444209032;
57;209794;449599370;
58;207185;444563699;
59;204881;451996326;
60;288727;445335603;
61;291690;445005532;
62;307636;445356227;
63;206552;450217077;
64;311832;444328276;
65;283138;445077955;
66;295913;444661643;
67;291584;444144239;
68;281483;449699088;
69;285361;444145943;
70;211584;446047777;
71;285711;443997112;
72;284604;450240422;
73;291128;444020489;
74;210001;446056222;
75;247531;444121443;
76;207533;445067636;
77;231022;449928961;
78;267753;444644974;
79;226929;444662203;
80;247784;445215685;
81;229199;449614536;
82;169984;444835713;
83;241001;445014101;
84;239448;445136467;
85;237003;443862131;
86;230120;449144433;
87;235450;444262441;
88;163084;444671722;
89;218763;444071118;
90;218749;449278683;
91;229783;444857223;
92;218072;447027942;
93;174301;447488882;
94;165751;446503279;
95;297577;469801419;
96;237613;444063811;
97;219442;444524198;
98;210734;443757747;
99;232796;450425142;
100;264857;444343335;
101;162714;445324959;
102;160713;443481600;
103;188057;451137342;
104;202465;443379400;
105;163915;444059962;
106;191226;444094801;
107;168326;445917721;
108;161009;449871129;
109;159029;444024390;
110;167000;444680431;
111;191911;444091369;
112;161368;451443199;
113;214512;444308239;
114;210445;445074117;
115;215204;444964510;
116;215857;443998415;
117;209984;452245560;
118;213749;445512985;
119;219711;448255430;
120;160692;444657273;
121;161851;456477938;
122;213096;444032123;
123;225119;445403564;
124;160833;444768202;
125;241347;445015446;
126;222843;450507021;
127;242672;445152787;
128;230877;444905565;
129;217226;443917543;
130;158511;449447411;
131;207166;444251136;
132;220439;444072659;
133;160545;444729226;
134;160599;444568440;
135;163310;450100776;
136;161625;443903416;
137;239989;445349061;
138;178189;441901369;
139;145683;450214289;
140;185632;444243156;
141;144965;447225641;
142;162377;444396830;
143;144534;443855202;
144;144669;447404191;
145;146351;443367335;
146;144091;445324254;
147;146357;446209779;
148;205775;451135503;
149;233125;443979642;
150;155080;445409081;
151;186866;444085706;
152;190269;444395108;
153;143094;453000549;
154;152264;444400203;
155;144115;445031493;
156;193099;442206313;
157;140820;449442534;
158;144418;443894992;
159;144512;447638468;
160;142755;444364570;
161;141615;444917672;
162;197370;465775919;
163;156901;443650987;
164;151516;445331401;
165;143154;446001353;
166;141805;456085219;
167;229584;454857091;
168;160984;443891180;
169;142236;448843906;
170;142680;447326647;
171;168625;454778161;
172;156173;444536818;
173;199079;445287923;
174;221939;444014601;
175;175561;449035657;
176;205308;444292292;
177;226448;446845562;
178;176362;444239889;
179;175931;447843878;
180;233522;452240173;
181;138080;445873652;
182;136802;445096690;
183;142276;446302934;
184;179466;449929699;
185;137600;443966449;
186;183228;445235741;
187;138837;443841172;
188;135298;451107298;
189;138207;449464056;
190;135673;444687692;
191;140218;445130063;
192;150699;443644381;
193;148061;450385403;
194;138754;445817645;
195;137945;447842910;
196;135862;444012662;
197;180178;450009610;
198;179024;443702987;
199;135764;444268850;
