index,time
0,3990520
1,922405
2,924405
3,881704
4,1104505
5,954304
6,857204
7,846305
8,861904
9,844204
10,836804
11,838404
12,878804
13,900505
14,862004
15,835204
16,920205
17,923105
18,881705
19,891705
20,916304
21,898504
22,1448207
23,1343307
24,1060005
25,924004
26,836304
27,833304
28,823704
29,826704
30,836804
31,2124811
32,355702
33,541103
34,292602
35,202301
36,201601
37,199801
38,201801
39,239901
40,201901
41,206801
42,206401
43,201901
44,198101
45,198201
46,207402
47,200501
48,201101
49,199701
50,200501
51,205901
52,199901
53,201201
54,202101
55,206801
56,204701
57,200901
58,216901
59,207901
60,199901
61,223001
62,211001
63,202301
64,204001
65,201001
66,208601
67,201601
68,201601
69,375402
70,538503
71,494303
72,475203
73,472702
74,466003
75,461302
76,458802
77,463002
78,483302
79,467103
80,464902
81,466002
82,464502
83,473902
84,447603
85,462602
86,471603
87,466202
88,455002
89,463502
90,451002
91,457602
92,450502
93,460902
94,471902
95,463403
96,456002
97,493203
98,455802
99,459902
100,450002
101,455402
102,474002
103,467802
104,466203
105,461902
106,464303
107,455102
108,466103
109,448502
110,474103
111,458402
112,470802
113,456102
114,457002
115,468602
116,505403
117,616903
118,605303
119,616703
120,599703
121,605803
122,603303
123,647103
124,628603
125,764304
126,648603
127,643003
128,595003
129,591003
130,628603
131,512702
132,523803
133,621904
134,585503
135,616903
136,604103
137,568803
138,455402
139,600103
140,589103
141,593103
142,606403
143,596803
144,544302
145,456802
146,626403
147,587603
148,582003
149,604604
150,588703
151,1149906
152,135001
153,134400
154,131401
155,124801
156,124800
157,123400
158,128501
159,125601
160,126100
161,126201
162,124701
163,122000
164,122001
165,120501
166,129600
167,126601
168,123901
169,122200
170,126501
171,125701
172,121300
173,134300
174,120501
175,120001
176,124800
177,124601
178,150201
179,122100
180,133800
181,123001
182,121801
183,120100
184,121301
185,119401
186,118000
187,120301
188,125901
189,338402
190,305201
191,127700
192,120801
193,119401
194,118100
195,129101
196,125201
197,125001
198,127700
199,120701
200,120801
201,119600
202,123901
203,141201
204,122401
205,131100
206,124201
207,121701
208,120700
209,119901
210,124501
211,124500
212,121300
213,122501
214,120801
215,125800
216,120901
217,119101
218,118700
219,119401
220,126801
221,120500
222,155300
223,127200
224,139501
225,153701
226,132701
227,126401
228,123600
229,145001
230,123101
231,163901
232,132001
233,132900
234,133901
235,129201
236,129401
237,127300
238,133401
239,125901
240,121800
241,125501
242,135001
243,147301
244,136601
245,127301
246,124200
247,125001
248,122801
249,121200
250,125901
251,129901
252,119500
253,118101
254,119601
255,196701
256,168201
257,163701
258,155401
259,122101
260,124700
261,150401
262,132501
263,127501
264,124400
265,124101
266,120601
267,120900
268,133001
269,122201
270,802704
271,166301
272,158601
273,156900
274,168301
275,123601
276,120601
277,127700
278,120001
279,121201
280,122300
281,128001
282,120401
283,122200
284,144301
285,134901
286,125301
287,125500
288,128900
289,124401
290,125501
291,133000
292,124601
293,121901
294,120600
295,120201
296,119701
297,118800
298,126001
299,119101
300,119300
301,119601
302,117601
303,128300
304,118001
305,119201
306,126500
307,117701
308,118100
309,117500
310,119301
311,118000
312,118101
313,118501
314,129600
315,117801
316,119501
317,120800
318,119601
319,120601
320,118600
321,125001
322,119301
323,120800
324,118001
325,117701
326,119100
327,116801
328,119201
329,138100
330,165601
331,188501
332,197001
333,159901
334,122301
335,129701
336,123901
337,126700
338,123801
339,123801
340,120200
341,119201
342,126201
343,120200
344,123601
345,121901
346,122900
347,119701
348,117101
349,128200
350,123301
351,121301
352,120800
353,118801
354,119501
355,121400
356,119501
357,125701
358,119200
359,119601
360,118301
361,118000
362,141601
363,119201
364,146701
365,121701
366,126900
367,122501
368,118501
369,118400
370,118601
371,131401
372,119700
373,119801
374,118401
375,118200
376,119501
377,118501
378,119500
379,124801
380,117901
381,125900
382,171801
383,162801
384,143501
385,140701
386,128801
387,131601
388,124400
389,124601
390,813404
391,133101
392,129401
393,128100
394,124801
395,121301
396,119400
397,154401
398,129301
399,126901
400,124100
401,120901
402,119601
403,119500
404,124301
405,117300
406,117201
407,116001
408,117400
409,130801
410,121801
411,120200
412,142601
413,132301
414,124700
415,126200
416,129501
417,129401
418,125400
419,133201
420,121301
421,121500
422,118501
423,120901
424,121500
425,119101
426,119401
427,133800
428,129100
429,123601
430,120401
431,121100
432,122801
433,123501
434,130400
435,122701
436,123801
437,121000
438,141401
439,122101
440,120800
441,124500
442,120001
443,117600
444,118001
445,119701
446,123700
447,119601
448,118401
449,127700
450,120201
451,119301
452,120300
453,118401
454,119701
455,119400
456,124701
457,125401
458,121800
459,120401
460,120101
461,119700
462,119101
463,120401
464,123200
465,119701
466,117800
467,118400
468,119301
469,126600
470,119400
471,117801
472,134300
473,119800
474,123801
475,122401
476,119900
477,133301
478,119701
479,120000
480,119701
481,119501
482,117700
483,118901
484,117401
485,126700
486,120601
487,123401
488,119600
489,117801
490,119301
491,119700
492,117501
493,126000
494,119500
495,118901
496,118800
497,118401
498,118701
499,140000
500,123800
501,118601
502,118400
503,118001
504,119201
505,117300
506,117701
507,118701
508,126100
509,1158006
510,460503
511,491402
512,618103
513,617303
514,628003
515,612103
516,593003
517,583703
518,583703
519,608103
520,586703
521,593003
522,595003
523,594403
524,607803
525,617503
526,599003
527,587803
528,619103
529,613004
530,644403
531,627204
532,623103
533,602303
534,592603
535,608803
536,586003
537,590503
538,583203
539,623004
540,637603
541,453203
542,443002
543,418102
544,429803
545,411502
546,434402
547,403502
548,412803
549,421002
550,474302
551,420602
552,419002
553,226201
554,119601
555,111401
556,111300
557,111401
558,112000
559,110401
560,114601
561,112600
562,114501
563,107000
564,107101
565,108501
566,108500
567,118501
568,113901
569,114000
570,118601
571,111801
572,108400
573,107901
574,109100
575,107301
576,109701
577,107200
578,115601
579,107300
580,106301
581,107600
582,106700
583,107801
584,109600
585,118301
586,108200
587,119201
588,111601
589,113100
590,108001
591,116501
592,110800
593,110501
594,110600
595,117101
596,107001
597,108200
598,106101
599,108300
